Adres
Al. Jerozolimskie 154  
al. Niepodleglosci 227/233  
Bitwy Warszawskiej 1920 roku 7b
Bitwy Warszawskiej 1920 roku 7b
Bitwy Warszawskiej 1920 roku 7b
Brama 01   
Ciasna 5   
Czerniakowska 127   
Czerniakowska 231   
Dickensa 16   
Dobra 55   
Dobra 8/10   
Dobra 89   
Drawska 29a   
Drawska 29a   
Duchnicka 3   
E. Plater 31  
Elblaska 15/17   
Filarecka 2   
Filtrowa 9   
Foksal 12/14   
Franciszkanska 3   
Gdanska 11   
gen. J. Zajaczka 11 
gen. J. Zajaczka 15 
gen. J. Zajaczka 8 
gen. J. Zajaczka 8 
gen. W. Andersa 5 (1)
gen. W. Andersa 5 (2)
Geodetow 1   
Geodetow 12   
Gorczewska 17A   
Gostynska 45   
Gorczewska 32   
Gornoslaska 20   
Grabowska 4   
Grojecka 19/25   
Grojecka 5   
Grzybowska 35a   
Grzybowska 43a   
Hoza 19   
Hoza 25   
Hoza 41   
I. L. Pereca 2 
Inzynierska 1   
Iwicka 51   
J. Bema 70  
J. Sierakowskiego 6  
J. Slowackiego 15/19  
J. Slowackiego 6/8  
Jaktorowska 8   
Jana Pawla II 64 
Jasna 2/4   
Jasnodworska 3c   
Jaworzynska 1   
K. Dickensa 15  
K. Dickensa 17  
K. Dickensa 19  
K. I. Galczynskiego 4 
K. Promyka 1  
Karmelicka 15   
Karolkowa 50   
Karolkowa 63   
Karolkowa 84   
Karolkowa 84   
Kijowska 1   
Kopinska 35   
Koszykowa 54   
Kozminska 7   
Krochmalna 2   
Krucza 51   
ks. J. Popieluszki 11 
ks. J. Popieluszki 21 
ks. J. Popieluszki 21 
ks. J. Popieluszki 21 
Ksiecia Trojdena (1)  
Ksiecia Trojdena (2)  
L. Narbutta 151  
Leszno 22   
Lipowa 4   
Lirowa 26   
Ludna 10a   
lazienkowska 7   
lucka 20   
M. Anielewicza 17  
M. Anielewicza 26b  
M. Anielewicza 47A  
M. Anielewicza 47B  
M. Kasprzaka 1/3  
M. Kazimiery 1  
M. Konopnickiej 6  
M. Kopernika 36/40  
Marianska 1   
Marianska 5   
Mariensztat 25   
Markowska 22   
Marszalkowska 115   
Mazowiecka 6/8   
Miodowa 5   
Mlynarska 8/12   
Nowogrodzka 43   
Nowogrodzka 75   
Nowowiejska 28   
Nowy swiat 6/12  
Nowy Zjazd 1  
Obozna 11   
Ogrodowa 1a   
Opaczewska 40a   
Opaczewska 43   
Opaczewska 43   
Opaczewska 43   
palac Staszica   
Piaskowa 3   
Piekna 11   
pl. Pilsudskiego 6  
Podwale 23   
Powazkowska 40   
Powazkowska 43   
Prosta 26   
Pruszkowska 29   
Pruszkowska 29b   
Przyrynek 2   
Ptasia 2   
Pulawska 11   
Pulawska 14   
Pulawska 18   
Pulawska 27   
Pulawska 28   
Rakowiecka 25/27   
Ratuszowa 11   
Rozbrat 26   
Rybaki 35   
S. Hankiewicza 1  
S. Staszica 4  
S. Staszica 4  
Sapiezynska 10   
Sienkiewicza 7   
Sierpecka 6   
Skierniewicka 21   
Slowackiego 52/54   
Slowackiego 52/54   
Solec 61a   
Stalowa 17/19   
Stalowa 20/22   
Stalowa 21   
Stalowa 28   
Stawki 1   
Stepinska 39A   
Szczesliwicka 21a   
Szczesliwicka 25   
Szczesliwicka 29/29a   
Szczesliwicka 29/29a   
Szczesliwicka 36   
Szczesliwicka 36   
Szwedzka 20   
Szwolezerow 4   
Szwolezerow 6   
srodkowa 2/4   
swietojanska 33   
swietojerska 9   
Targowa 84   
Towarowa 2   
ul. Grojecka 17A  
W. H. Lindleya 14 
W. Korotynskiego 24  
W. Korotynskiego 34  
W. Korotynskiego 46  
Warecka 9   
Wiejska 1   
Wiejska 20   
Wilcza 50/52   
Wilcza 74   
Wolska 38   
Wolska 66   
Wronia 53   
Wybrzeze Kosciuszkowskie 51  
Z. Krasinskiego 10  
Z. Krasinskiego 25  
Zawiszy 14   
Zawiszy 14   
Zlota 58   
zelazna 32   
zurawia 33/35   
11 Listopada 15
11 Listopada 15
11 Listopada 24
11 Listopada 4
11 Listopada 40
11 Listopada 48
11 Listopada 54
11 Listopada 6
A. Asnyka 8
A. Cieszkowskiego 2
A. Corazziego 4
A. Felinskiego  2b
A. Felinskiego 13
A. Felinskiego 16
